date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:07:20	45515/45515	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20May%202023%2012:46:08%20GMT	https://bslthemes.com/html/patrick/index-particles.html	C:/My%20Web%20Sites/Jonnyx%20portfolio/bslthemes.com/html/patrick/index-particles.html	(from )
11:07:22	124/124	---MCZ	200	added ('OK')	text/plain	date:Sat,%2020%20Jul%202024%2010:07:23%20GMT	https://bslthemes.com/robots.txt		(from )
11:07:23	179119/179119	---MCZ	200	added ('OK')	text/css	date:Sat,%2024%20Jul%202021%2018:28:46%20GMT	https://bslthemes.com/html/patrick/css/styles.min.css	C:/My%20Web%20Sites/Jonnyx%20portfolio/bslthemes.com/html/patrick/css/styles.min.css	(from https://bslthemes.com/html/patrick/index-particles.html)
11:07:23	1498/1498	---MCZ	200	added ('OK')	text/css	date:Sat,%2024%20Jul%202021%2018:12:51%20GMT	https://bslthemes.com/html/patrick/css/theme-colors/green.css	C:/My%20Web%20Sites/Jonnyx%20portfolio/bslthemes.com/html/patrick/css/theme-colors/green.css	(from https://bslthemes.com/html/patrick/index-particles.html)
11:07:23	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Sat,%2024%20Jul%202021%2018:12:52%20GMT	https://bslthemes.com/html/patrick/images/favicons/favicon.ico	C:/My%20Web%20Sites/Jonnyx%20portfolio/bslthemes.com/html/patrick/images/favicons/favicon.ico	(from https://bslthemes.com/html/patrick/index-particles.html)
11:07:24	47658/47658	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20May%202023%2012:45:55%20GMT	https://bslthemes.com/html/patrick/index-rtl.html	C:/My%20Web%20Sites/Jonnyx%20portfolio/bslthemes.com/html/patrick/index-rtl.html	(from https://bslthemes.com/html/patrick/index-particles.html)
11:07:24	45406/45406	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20May%202023%2012:45:16%20GMT	https://bslthemes.com/html/patrick/index.html	C:/My%20Web%20Sites/Jonnyx%20portfolio/bslthemes.com/html/patrick/index.html	(from https://bslthemes.com/html/patrick/index-particles.html)
11:07:24	45622/45622	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20May%202023%2012:45:30%20GMT	https://bslthemes.com/html/patrick/index-video.html	C:/My%20Web%20Sites/Jonnyx%20portfolio/bslthemes.com/html/patrick/index-video.html	(from https://bslthemes.com/html/patrick/index-particles.html)
11:07:25	45359/45359	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20May%202023%2012:46:32%20GMT	https://bslthemes.com/html/patrick/index-bgcolor.html	C:/My%20Web%20Sites/Jonnyx%20portfolio/bslthemes.com/html/patrick/index-bgcolor.html	(from https://bslthemes.com/html/patrick/index-particles.html)
11:07:27	299359/299359	---M--	200	added ('OK')	image/jpeg	date:Sat,%2024%20Jul%202021%2018:12:47%20GMT	https://bslthemes.com/html/patrick/images/profile.jpg	C:/My%20Web%20Sites/Jonnyx%20portfolio/bslthemes.com/html/patrick/images/profile.jpg	(from https://bslthemes.com/html/patrick/index-particles.html)
